Id,Item,Caroline Staub,Jennifer Cisse,CJ Reconciled,LLMr1b,LLMr1a,LLM
125905848,Social protection for transformative resilience: do programmes really address underlying causes of vulnerability of subsistence farmers to climate change?,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125906586,"Socio-economic vulnerability- climate resilience nexus in a few selected villages of Gosaba and Hingalganj CD Block of Sundarban, India",INCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125900848,Sowing the wheat seeds of Afghanistan's future,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125893759,Spatial–temporal variations of oceanographic parameters in the Zhoushan sea area of the East China Sea based on remote sensing datasets,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125902963,Spatiotemporal Monitoring of Cyanobacterial Blooms and Aquatic Vegetation in Jiangsu Province Using AI Earth Platform and Sentinel-2 MSI Data (2019–2024),EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125891407,Spatiotemporal variations in suitable areas for Japanese scallop aquaculture in the Dalian coastal area from 2003 to 2012,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125893245,Targeting management practices for rice yield gains in stress-prone environments of Myanmar,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125895095,Temporal variability of ENSO effects on corn yield at the central region of Argentina,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125890116,The Aplication of Landsat 8 OLI for Total Suspended Solid (TSS) Mapping in Gajahmungkur Reservoir Wonogiri Regency 2016,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125900660,The challenge of making climate adaptation profitable for farmers: evidence from Sri Lanka's rice sector,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125905111,The combination of climate information services in the decision-making process of farmers to reduce climate risks: Application of social cognition theory,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125896731,The contribution of cooperative irrigation scheme to poverty reduction in Tanzania,INCLUDE,EXCLUDE,INCLUDE,Exclude,Exclude,EXCLUDE
125903998,The effects of addressing gender norms and access to resources on gender equality in climate-affected agrifood systems in Bangladesh,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125894515,The evolution of farm animal biotechnology,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896321,The first nation-wide assessment identifies valuable blue‑carbon seagrass habitat in Indonesia is in moderate condition,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125900774,The impact of climate change on maize production: Empirical findings and implications for sustainable agricultural development,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125890565,"The Impacts of Climate Change on the Livelihood of Arable Crop Farmers in Southwest, Nigeria",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125900929,The potential risks of climate change and weather index insurance scheme for Thailand's economic crop production,INCLUDE,EXCLUDE,EXCLUDE,Include,Exclude,EXCLUDE
125905406,The Role of Climate Change Perceptions in Sustainable Agricultural Development: Evidence from Conservation Tillage Technology Adoption in Northern China,INCLUDE,INCLUDE,INCLUDE,Include,Exclude,EXCLUDE
125896808,The role of large traders in driving sustainable agricultural intensification in smallholder farms: Evidence from Kenya,EXCLUDE,INCLUDE,INCLUDE,Include,Include,EXCLUDE
125900661,"The role of local institutions in building smallholder farmers' adaptive capacity against climate change impacts in Bikita, Zimbabwe",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125891707,The saga of community learning: Mariculture and the Bolinao experience,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125901023,Thirty years of water management research for rice in sub-Saharan Africa: Achievement and perspectives,INCLUDE,EXCLUDE,EXCLUDE,Include,Include,EXCLUDE
125900846,Tolerance diversity in Kabuli chickpea local germplasm ‏under terminal drought,EXCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125904832,"Too much, too soon? Early-maturing maize varieties as drought escape strategy in Malawi",INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125896712,Toward the development of a weather index insurance for rice farmers in the coastal region of Myanmar,INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125892721,"Tree knowledge and livelihood activities in a changing environment: Views from smallholder farmers in Kosti, Sudan",EXCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125897384,Tweaking Pakistani Punjab rice-wheat management to maximize productivity within nitrate leaching limits,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125902891,"Understanding Farmer Typology, Manure Use Dynamics and Resource Endowment in a Smallholder Rural Community of the Eastern Cape Province, South Africa",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125897528,Understanding the adoption of climate change adaptation strategies among smallholder farmers: Evidence from land reform beneficiaries in South Africa,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125892269,Unintended effects of technology on climate change adaptation: An historical analysis of water conflicts below Andean Glaciers,INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125905895,"Unravelling the complexities of wetland agriculture, climate change, and coping mechanisms: an integrative review using economics and satellite approaches",INCLUDE,EXCLUDE,EXCLUDE,Include,Exclude,EXCLUDE
125903280,Unveiling the determinants of climate change adaptation among small Landholders: Insights from a Mountainous Region in Pakistan,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125898599,"Unwrapping the memory box: Gendered livelihoods in a forest community in the Sundarbans, Bangladesh",EXCLUDE,EXCLUDE,EXCLUDE,Include,Exclude,INCLUDE
125890955,Using temporal NDVI/MODIS profiles for inferences on the crop soybean calendar,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125897400,"Vehicular livestock mobility in West Africa: Seasonal traffic flows of cattle, sheep, and goats across bamako",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125895916,Warm winters challenge the cultivation of temperate species in South America—a spatial analysis of chill accumulation,EXCLUDE,EXCLUDE,EXCLUDE,Include,Exclude,EXCLUDE
125902985,"Water Saving and Environmental Issues in the Hetao Irrigation District, the Yellow River Basin: Development Perspective Analysis",INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125890760,"What drives farmers to adopt farm-level adaptation practices to climate extremes: Empirical evidence from Odisha, India",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125894518,Why the uncertain term occurs in the farmland lease market: Evidence from rural China,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125901433,Year in Review: Beet Growing and Sugar Campaign 2021/2022 in Slovakia,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125898149,Yield stability and phenotypic plasticity of Populus spp. clones growing in environmental gradients: I-yield stability under field conditions,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
