doi,filename,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,domain_type,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,equity_inclusion,strengths_and_limitations,lessons_learned,validity_notes,coder_id,notes
10.17159/2413-3221_2020_v48n1a526,doi_10.17159_2413-3221_2020_v48n1a526.pdf,2020,journal_article,Nigeria,sub-national,crop,women,social exclusion affecting climate change adaptation of women farmers,both,knowledge_awareness_learning; participation_coproduction; institutional_governance; access_information_services,"access to credit facilities, land ownership, agricultural equipment and inputs",quantitative,research,surveys,cross_sectional,no,gender,not_reported,not_reported,none_flagged,LLM,
10.17159/2413-3221_2025_v53n5a21390,doi_10.17159_2413-3221_2025_v53n5a21390.pdf,2025,journal_article,Botswana,sub-national,crop,none_reported,climate-smart irrigation technologies for smallholder maize farmers,both,uptake_adoption; yields_productivity,"adoption rate (%), yield (tons/acre)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,"The study recommends encouraging more young and educated farmers to adopt Climate-Smart Irrigation Technology (CSIT) to mitigate climate change, enhance productivity, ensure food security, and improve livelihoods.",none_flagged,LLM,
10.17159/sajs.2023_15001,doi_10.17159_sajs.2023_15001.pdf,2023,journal_article,South Africa,sub-national,crop,landless,improved seed varieties for climate resilience,both,uptake_adoption; knowledge_awareness_learning; access_information_services,"adoption rate (%), income (USD/season)",quantitative,research,surveys; participatory_methods,cross_sectional,no,land_tenure,Strength: large sample size. Limitation: single-season follow-up.,"Recommendations include enhancing extension services, capacity-building initiatives, subsidy programmes, financial resources, and good agricultural lands to improve adoption of improved seed varieties.","small sample (n < 30), single-season follow-up",LLM,
10.17582/journal.pjar_2019_32.4.691.705,doi_10.17582_journal.pjar_2019_32.4.691.705.pdf,2019,report,Pakistan,national,livestock,none_reported,not_found,not_found,not_found,not_found,not_found,research,administrative_data,cross_sectional,no,none_reported,not_found,not_found,none_flagged,LLM,
10.18402/resci.2021.09.14,doi_10.18402_resci.2021.09.14.html,2021,journal_article,China,local,crop,none_reported,government-led drought risk governance and farmer adaptation strategies,both,decision_making_planning; institutional_governance,not_found,qualitative,research,participatory_methods,cross_sectional,no,none_reported,not_found,not_found,none_flagged,LLM,
10.18472/sustdeb.v11n1.2020.30505,doi_10.18472_sustdeb.v11n1.2020.30505.pdf,2020,journal_article,Brazil,sub-national,mixed,none_reported,Fomento Program to enhance resilience of family farmers in semi-arid regions,both,uptake_adoption; yields_productivity; income_assets,"adoption rate (%), yield (t/ha), income (USD/year)",qualitative,research,participatory_methods,cross_sectional,no,gender,not_reported,not_reported,"small sample (n < 30), single-site study, self-reported outcomes",LLM,
10.20937/atm.2017.30.02.01,doi_10.20937_atm.2017.30.02.01.pdf,2017,journal_article,China,national,crop,none_reported,climate change impact on farm inputs,both,uptake_adoption; yields_productivity,"yield (tons/ha), input intensity",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.24181/tarekoder.698795,doi_10.24181_tarekoder.698795.pdf,2020,journal_article,Rwanda,local,crop,none_reported,risk management strategies for coffee farmers,both,knowledge_awareness_learning; uptake_adoption; decision_making_planning; access_information_services,"risk sources identified through factor analysis, use of chemical inputs, new resistant coffee varieties, pesticide usage",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,"small sample (n < 30), single-site study, self-reported outcomes, short follow-up (< 1 season)",LLM,
10.26480/wcm.01.2020.20.31,doi_10.26480_wcm.01.2020.20.31.pdf,2020,journal_article,Bangladesh,local,fisheries_aquaculture,none_reported,traditional knowledge for coping with climate change,both,knowledge_awareness_learning; behavioral_change; risk_reduction,not_reported,qualitative,research,participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.29244/jtcs.12.01.158-171,doi_10.29244_jtcs.12.01.158-171.pdf,2025,journal_article,Philippines,local,agroforestry,none_reported,knowledge_awareness_learning on climate change impacts for coconut farmers,adaption_process,knowledge_awareness_learning; decision_making_planning; uptake_adoption,"climate change awareness score, climate impact perception score, adaptation practice adoption rate (%)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.30852/sb.2021.1587,doi_10.30852_sb.2021.1587.pdf,2021,journal_article,Viet Nam,sub-national,livestock,none_reported,biogas digestion for sustainable development and climate change adaptation,both,uptake_adoption; risk_reduction,"biogas digester volume (m3), adoption rate (%)",quantitative,research,surveys,cross_sectional,no,none_reported,Strength: Large sample size of 120 livestock owners. Limitation: Single-season follow-up.,not_reported,"small sample (n < 30), single-site study, self-reported outcomes, short follow-up (< 1 season)",LLM,
10.30852/sb.2023.2223,doi_10.30852_sb.2023.2223.pdf,2023,journal_article,Indonesia,local,crop,none_reported,low-cost micro-irrigation systems for small-scale farming,both,knowledge_awareness_learning; uptake_adoption; yields_productivity,"adoption rate (%), yield (t/ha)",mixed_methods,research,participatory_methods; surveys,cross_sectional,no,none_reported,Strength: Successful capacity building and awareness improvement. Limitation: Single-season follow-up.,Training and capacity building of smallholder farmers is more effective in improving agricultural production and income.,none_flagged,LLM,
10.31893/multiscience.2025083,doi_10.31893_multiscience.2025083.pdf,2025,journal_article,Pakistan,local,crop,women,climate information services (CIS) in agricultural adaptation,both,knowledge_awareness_learning; uptake_adoption; participation_coproduction; access_information_services,"climate change awareness (percentage), CIS utilization patterns (frequency), behavioral changes post-CIS exposure (qualitative)",quantitative,research,surveys,cross_sectional,no,gender,Strength: Large sample size. Limitation: Single-season follow-up.,not_reported,"small sample (n < 30), single-site study, self-reported outcomes, short follow-up (< 1 season)",LLM,
10.3389/fagro.2025.1634867,doi_10.3389_fagro.2025.1634867.pdf,2025,journal_article,India,sub-national,crop,none_reported,drip irrigation for water-efficient onion farming,both,uptake_adoption; yields_productivity,"yield (t/ha), water savings (%), family income, land holding size, extension contacts, information source use",quantitative,research,surveys,seasonal,no,none_reported,Strength: large sample size. Limitation: self-reported yield data.,not_reported,"small sample (n < 30), single-site study, self-reported outcomes, short follow-up (< 1 season)",LLM,
10.3389/fclim.2022.1067630,doi_10.3389_fclim.2022.1067630.pdf,2022,journal_article,Nepal,local,mixed,indigenous_peoples,Indigenous agricultural knowledge for climate change adaptation,both,knowledge_awareness_learning; behavioral_change; institutional_governance,"risk perception, adaptation efficacy assessment",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,indigenous_peoples,Strength: Utilizes Protection Motivation Theory to understand risk perception and adaptation efficacy. Limitation: Limited data due to the remote location and lack of long-term climate measurements.,not_reported,none_flagged,LLM,
10.3389/fsufs.2019.00053,doi_10.3389_fsufs.2019.00053.pdf,2019,journal_article,Ethiopia; Malawi; Tanzania,multi-country,crop,none_reported,improved maize varieties for climate resilience,both,uptake_adoption; income_assets; livelihoods,"improved maize varieties planted (%), wealth index, food security score",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.3389/fsufs.2023.1236581,doi_10.3389_fsufs.2023.1236581.pdf,2023,journal_article,Benin,sub-national,livestock,none_reported,silvopastoral system for dairy cows,both,uptake_adoption; yields_productivity; livelihoods; wellbeing,"daily milk yield (kg), demographic traits (proportion of lactating cows, pre-weaning mortality rate, fertility rate, weaning productivity)",quantitative,research,surveys,longitudinal,no,none_reported,not_reported,ISS systems can be promoted to improve milk production and reproductive performance in drylands.,none_flagged,LLM,
10.3389/fsufs.2025.1564812,doi_10.3389_fsufs.2025.1564812.pdf,2025,journal_article,India,sub-national,crop,none_reported,timely planting and resource-conserving technologies for wheat farming,both,uptake_adoption; yields_productivity; income_assets,"yield (t/ha), net returns ($/ha), benefit-cost ratio",quantitative,research,surveys; administrative_data,seasonal,no,none_reported,not_reported,Sowing wheat in the second week of November using the Happy Seeder (HS) significantly boosts productivity and profitability.,none_flagged,LLM,
10.3844/ajessp.2011.178.182,doi_10.3844_ajessp.2011.178.182.pdf,2011,journal_article,Malaysia,sub-national,crop,none_reported,government subsidies and training for climate change adaptation,both,knowledge_awareness_learning; uptake_adoption; access_information_services,"farmers’ capability to adapt with climate change (ordinal data), availability of additional fertilizers in the market (binary)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.4102/jamba.v11i1.674,doi_10.4102_jamba.v11i1.674.pdf,2019,journal_article,Zimbabwe,sub-national,crop,none_reported,small-scale rural irrigation schemes for food security,both,uptake_adoption; yields_productivity; income_assets; livelihoods,"adoption rate (%), yield (t/ha), income (USD/year)",qualitative,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.4102/jamba.v13i1.1093,doi_10.4102_jamba.v13i1.1093.pdf,2021,journal_article,South Africa,sub-national,crop,none_reported,drip irrigation; rainwater harvesting; integrated pest management (IPM); drought-resistant varieties; changing fertilizer type,both,uptake_adoption; yields_productivity; income_assets,"profit efficiency (index), technical efficiency (index), price of fertilizer (R/tonne), water cost (R/m³)",quantitative,research,surveys,cross_sectional,no,none_reported,Strength: Large sample size of 235 production units. Limitation: Single-season follow-up.,not_reported,"small sample (n < 30), single-site study, self-reported outcomes, short follow-up (< 1 season)",LLM,
10.4314/jae.v25i4.6,doi_10.4314_jae.v25i4.6.pdf,2021,journal_article,Nigeria,sub-national,crop,women,climate change adaptation measures for vegetable production,both,knowledge_awareness_learning; uptake_adoption; participation_coproduction; access_information_services; risk_reduction,"frequency count, percentage, mean scores, standard deviation",quantitative,research,surveys,cross_sectional,no,women,not_reported,provision of incentives such as materials and equipment’s and increased training on how to reduce and prevent pests and diseases outbreak,"small sample (n < 30), single-site study, self-reported outcomes",LLM,
10.5304/jafscd.2019.091.037,doi_10.5304_jafscd.2019.091.037.pdf,2019,journal_article,Philippines,sub-national,crop,none_reported,organic agriculture for climate resilience,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance; yields_productivity,"agroecosystem indicators of resilience (SHARP survey), farmer perspectives on farm management practices, socioecological conditions, challenges related to climate change",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,none_reported,"Strength: Integrative and collaborative approach involving smallholders, government, and NGOs. Limitation: Short-term data collection limits understanding of long-term resilience.",not_reported,"small sample (n < 30), single-site study, self-reported outcomes, short follow-up (< 1 season)",LLM,
10.56578/cis130403,doi_10.56578_cis130403.pdf,2025,journal_article,Indonesia,sub-national,fisheries_aquaculture,none_reported,adjusting fishing times and shifting fishing grounds in response to climate change,both,decision_making_planning; yields_productivity; income_assets; wellbeing,"income (USD/year), fishing distance (km), vessel capacity (tonnes)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.5751/es-05705-180424,doi_10.5751_es-05705-180424.pdf,2013,journal_article,Zimbabwe,sub-national,mixed,none_reported,use of woodland products to cope with climate variability,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; access_information_services,"energy intake (percentage), time investment in collection activities",mixed_methods,research,participatory_methods; surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.5751/es-12245-260127,doi_10.5751_es-12245-260127.pdf,2021,journal_article,China,local,livestock,none_reported,fodder import and credit loans for climate resilience,both,uptake_adoption; yields_productivity; risk_reduction; resilience_adaptive_capacity,"livestock population (head), household income (CNY/year), rangeland health index",modeling_with_empirical_validation,research,secondary_data,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.6090/jarq.41.25,doi_10.6090_jarq.41.25.pdf,2007,journal_article,Bangladesh,local,crop,none_reported,local rice varieties for flood adaptation,both,uptake_adoption; yields_productivity,yield (t/ha),quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.5194/esd-7-977-2016,doi_10.5194_esd-7-977-2016.html,2016,journal_article,Malawi,local,fisheries_aquaculture,women,livelihood diversification for climate resilience,both,uptake_adoption; livelihoods,not_reported,qualitative,research,participatory_methods,cross_sectional,no,women,not_reported,Livelihood diversification can be a more effective strategy for Malawian women to adapt to climate change than relying on threatened resources.,none_flagged,LLM,
10.1007/s11069-016-2551-2,doi_10.1007_s11069-016-2551-2.html,2016,journal_article,Philippines,local,crop; fisheries_aquaculture,none_reported,seasonal land use adaptation for flood-prone areas,both,decision_making_planning; yields_productivity; income_assets; wellbeing,"yield (t/ha), income (USD/season), wild fish capture (US $/ha)",mixed_methods,research,remote_sensing; participatory_methods,seasonal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.worlddev.2016.04.002,doi_10.1016_j.worlddev.2016.04.002.html,2016,journal_article,Kenya,sub-national,mixed,none_reported,remittances from migration for agricultural innovation adoption,both,uptake_adoption; risk_reduction,"adoption rate, remittances received, cost of adaptive measures",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.eja.2016.03.004,doi_10.1016_j.eja.2016.03.004.html,2016,journal_article,Northeast Farming Region of China,sub-national,crop,none_reported,drought-resistant varieties and irrigation for maize production,both,uptake_adoption; yields_productivity,"maize yield (kg/ha), irrigation access (%)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1108/ijccsm-10-2015-0149,doi_10.1108_ijccsm-10-2015-0149.html,2015,journal_article,India,sub-national,mixed,none_reported,farm technology adoption as a climate change adaptation strategy,both,uptake_adoption; access_information_services; institutional_governance,"risk premium (INR ha-1), investment in farm infrastructure, expected profit",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,Quantification of risk premium and conducting awareness programs for farmers and decision makers are important to strengthen evidence-based adoption decisions.,none_flagged,LLM,
